code,name
SLC25A40 PE,SLC_25_A40
SLC25A41 PE,SLC_25_A41
SLC25A42 PE,SLC_25_A42
SLC25A43 PE,SLC_25_A43
SLC25A44 PE,SLC_25_A44
SLC25A45 PE,SLC_25_A45
SLC25A46 PE,SLC_25_A46
SLC25A47 PE,SLC_25_A47
SLC25A48 PE,SLC_25_A48
MTCH1 PE,SLC_25_A49
SLC25A5 PE,SLC_25_A5
MTCH2 PE,SLC_25_A50
SLC25A51 PE,SLC_25_A51
SLC25A52 PE,SLC_25_A52
SLC25A53 PE,SLC_25_A53
SLC25A6 PE,SLC_25_A6
UCP1 PE,SLC_25_A7
UCP2 PE,SLC_25_A8
UCP3 PE,SLC_25_A9
SLC26A1 PE,SLC_26_A1
SLC26A10 PE,SLC_26_A10
SLC26A11 PE,SLC_26_A11
SLC26A2 PE,SLC_26_A2
SLC26A3 PE,SLC_26_A3
SLC26A4 PE,SLC_26_A4
SLC26A5 PE,SLC_26_A5
SLC26A6 PE,SLC_26_A6
SLC26A7 PE,SLC_26_A7
SLC26A8 PE,SLC_26_A8
SLC26A9 PE,SLC_26_A9
SLC27A1 PE,SLC_27_A1
SLC27A2 PE,SLC_27_A2
SLC27A3 PE,SLC_27_A3
SLC27A4 PE,SLC_27_A4
SLC27A5 PE,SLC_27_A5
SLC27A6 PE,SLC_27_A6
SLC28A1 PE,SLC_28_A1
SLC28A2 PE,SLC_28_A2
SLC28A3 PE,SLC_28_A3
SLC29A1 PE,SLC_29_A1
SLC29A2 PE,SLC_29_A2
SLC29A3 PE,SLC_29_A3
SLC29A4 PE,SLC_29_A4
SLC30A1 PE,SLC_30_A1
SLC30A10 PE,SLC_30_A10
SLC30A2 PE,SLC_30_A2
SLC30A3 PE,SLC_30_A3
SLC30A4 PE,SLC_30_A4
SLC30A5 PE,SLC_30_A5
SLC30A6 PE,SLC_30_A6
SLC30A7 PE,SLC_30_A7
SLC30A8 PE,SLC_30_A8
SLC30A9 PE,SLC_30_A9
SLC31A1 PE,SLC_31_A1
SLC31A2 PE,SLC_31_A2
SLC32A1 PE,SLC_32_A1
SLC33A1 PE,SLC_33_A1
MFSD3 PE,SLC_33_A2
SLC34A1 PE,SLC_34_A1
SLC34A2 PE,SLC_34_A2
SLC34A3 PE,SLC_34_A3
SLC35A1 PE,SLC_35_A1
SLC35A2 PE,SLC_35_A2
SLC35A3 PE,SLC_35_A3
SLC35A4 PE,SLC_35_A4
SLC35A5 PE,SLC_35_A5
SLC35B1 PE,SLC_35_B1
SLC35B2 PE,SLC_35_B2
SLC35B3 PE,SLC_35_B3
SLC35B4 PE,SLC_35_B4
SLC35C1 PE,SLC_35_C1
SLC35C2 PE,SLC_35_C2
SLC35D1 PE,SLC_35_D1
SLC35D2 PE,SLC_35_D2
SLC35D3 PE,SLC_35_D3
SLC35E1 PE,SLC_35_E1
SLC35E2A PE,SLC_35_E2A
SLC35E2B PE,SLC_35_E2B
SLC35E3 PE,SLC_35_E3
SLC35E4 PE,SLC_35_E4
SLC35F1 PE,SLC_35_F1
SLC35F2 PE,SLC_35_F2
SLC35F3 PE,SLC_35_F3
SLC35F4 PE,SLC_35_F4
SLC35F5 PE,SLC_35_F5
SLC35F6 PE,SLC_35_F6
SLC35G1 PE,SLC_35_G1
SLC35G2 PE,SLC_35_G2
SLC35G3 PE,SLC_35_G3
SLC35G4 PE,SLC_35_G4
SLC35G5 PE,SLC_35_G5
SLC35G6 PE,SLC_35_G6
SLC36A1 PE,SLC_36_A1
SLC36A2 PE,SLC_36_A2
SLC36A3 PE,SLC_36_A3
SLC36A4 PE,SLC_36_A4
SLC37A1 PE,SLC_37_A1
SLC37A2 PE,SLC_37_A2
SLC37A3 PE,SLC_37_A3
SLC37A4 PE,SLC_37_A4
SLC38A1 PE,SLC_38_A1
SLC38A10 PE,SLC_38_A10
SLC38A11 PE,SLC_38_A11
SLC38A2 PE,SLC_38_A2
SLC38A3 PE,SLC_38_A3
SLC38A4 PE,SLC_38_A4
SLC38A5 PE,SLC_38_A5
SLC38A6 PE,SLC_38_A6
SLC38A7 PE,SLC_38_A7
SLC38A8 PE,SLC_38_A8
SLC38A9 PE,SLC_38_A9
SLC39A1 PE,SLC_39_A1
SLC39A10 PE,SLC_39_A10
SLC39A11 PE,SLC_39_A11
SLC39A12 PE,SLC_39_A12
SLC39A13 PE,SLC_39_A13
SLC39A14 PE,SLC_39_A14
SLC39A2 PE,SLC_39_A2
SLC39A3 PE,SLC_39_A3
SLC39A4 PE,SLC_39_A4
SLC39A5 PE,SLC_39_A5
SLC39A6 PE,SLC_39_A6
SLC39A7 PE,SLC_39_A7
SLC39A8 PE,SLC_39_A8
SLC39A9 PE,SLC_39_A9
SLC4A1 PE,SLC_4_A1
SLC4A10 PE,SLC_4_A10
SLC4A11 PE,SLC_4_A11
SLC4A2 PE,SLC_4_A2
SLC4A3 PE,SLC_4_A3
SLC4A4 PE,SLC_4_A4
SLC4A5 PE,SLC_4_A5
SLC4A7 PE,SLC_4_A7
SLC4A8 PE,SLC_4_A8
SLC4A9 PE,SLC_4_A9
SLC40A1 PE,SLC_40_A1
SLC41A1 PE,SLC_41_A1
SLC41A2 PE,SLC_41_A2
SLC41A3 PE,SLC_41_A3
RHAG PE,SLC_42_A1
RHBG PE,SLC_42_A2
RHCG PE,SLC_42_A3
SLC43A1 PE,SLC_43_A1
SLC43A2 PE,SLC_43_A2
SLC43A3 PE,SLC_43_A3
SLC44A1 PE,SLC_44_A1
SLC44A2 PE,SLC_44_A2
SLC44A3 PE,SLC_44_A3
SLC44A4 PE,SLC_44_A4
SLC44A5 PE,SLC_44_A5
SLC45A1 PE,SLC_45_A1
SLC45A2 PE,SLC_45_A2
SLC45A3 PE,SLC_45_A3
SLC45A4 PE,SLC_45_A4
SLC46A1 PE,SLC_46_A1
SLC46A2 PE,SLC_46_A2
SLC46A3 PE,SLC_46_A3
SLC47A1 PE,SLC_47_A1
SLC47A2 PE,SLC_47_A2
