code,name,family
SLC2A8 PE,SLC_2_A8,SLC_2
SLC2A9 PE,SLC_2_A9,SLC_2
SLC20A1 PE,SLC_20_A1,SLC_20
SLC20A2 PE,SLC_20_A2,SLC_20
SLCO1A2 PE,SLC_21_1A2,SLC_21
SLCO1B1 PE,SLC_21_1B1,SLC_21
SLCO1B3 PE,SLC_21_1B3,SLC_21
SLCO1B7 PE,SLC_21_1B7,SLC_21
SLCO1C1 PE,SLC_21_1C1,SLC_21
SLCO2A1 PE,SLC_21_2A1,SLC_21
SLCO2B1 PE,SLC_21_2B1,SLC_21
SLCO3A1 PE,SLC_21_3A1,SLC_21
SLCO4A1 PE,SLC_21_4A1,SLC_21
SLCO4C1 PE,SLC_21_4C1,SLC_21
SLCO5A1 PE,SLC_21_5A1,SLC_21
SLCO6A1 PE,SLC_21_6A1,SLC_21
A0A0A6YYJ9,SLC_21_X1,SLC_21
SLC22A1 PE,SLC_22_A1,SLC_22
SLC22A10 PE,SLC_22_A10,SLC_22
SLC22A11 PE,SLC_22_A11,SLC_22
SLC22A12 PE,SLC_22_A12,SLC_22
SLC22A13 PE,SLC_22_A13,SLC_22
SLC22A14 PE,SLC_22_A14,SLC_22
SLC22A15 PE,SLC_22_A15,SLC_22
SLC22A16 PE,SLC_22_A16,SLC_22
SLC22A17 PE,SLC_22_A17,SLC_22
SLC22A18 PE,SLC_22_A18,SLC_22
SLC22A2 PE,SLC_22_A2,SLC_22
SLC22A23 PE,SLC_22_A23,SLC_22
SLC22A24 PE,SLC_22_A24,SLC_22
SLC22A25 PE,SLC_22_A25,SLC_22
SLC22A3 PE,SLC_22_A3,SLC_22
SLC22A31 PE,SLC_22_A31,SLC_22
MFSD10 PE,SLC_22_A32,SLC_22
SLC22A4 PE,SLC_22_A4,SLC_22
SLC22A5 PE,SLC_22_A5,SLC_22
SLC22A6 PE,SLC_22_A6,SLC_22
SLC22A7 PE,SLC_22_A7,SLC_22
SLC22A8 PE,SLC_22_A8,SLC_22
SLC22A9 PE,SLC_22_A9,SLC_22
SV2A PE,SLC_22_B1,SLC_22
SV2B PE,SLC_22_B2,SLC_22
SV2C PE,SLC_22_B3,SLC_22
SVOP PE,SLC_22_B4,SLC_22
SVOPL PE,SLC_22_B5,SLC_22
SLC23A1 PE,SLC_23_A1,SLC_23
SLC23A2 PE,SLC_23_A2,SLC_23
SLC23A3 PE,SLC_23_A3,SLC_23
SLC24A1 PE,SLC_24_A1,SLC_24
SLC24A2 PE,SLC_24_A2,SLC_24
SLC24A3 PE,SLC_24_A3,SLC_24
SLC24A4 PE,SLC_24_A4,SLC_24
SLC24A5 PE,SLC_24_A5,SLC_24
SLC25A1 PE,SLC_25_A1,SLC_25
SLC25A10 PE,SLC_25_A10,SLC_25
SLC25A11 PE,SLC_25_A11,SLC_25
SLC25A12 PE,SLC_25_A12,SLC_25
SLC25A13 PE,SLC_25_A13,SLC_25
SLC25A14 PE,SLC_25_A14,SLC_25
SLC25A15 PE,SLC_25_A15,SLC_25
SLC25A16 PE,SLC_25_A16,SLC_25
SLC25A17 PE,SLC_25_A17,SLC_25
SLC25A18 PE,SLC_25_A18,SLC_25
SLC25A19 PE,SLC_25_A19,SLC_25
SLC25A2 PE,SLC_25_A2,SLC_25
SLC25A20 PE,SLC_25_A20,SLC_25
SLC25A21 PE,SLC_25_A21,SLC_25
SLC25A22 PE,SLC_25_A22,SLC_25
SLC25A23 PE,SLC_25_A23,SLC_25
SLC25A24 PE,SLC_25_A24,SLC_25
SLC25A25 PE,SLC_25_A25,SLC_25
SLC25A26 PE,SLC_25_A26,SLC_25
SLC25A27 PE,SLC_25_A27,SLC_25
SLC25A28 PE,SLC_25_A28,SLC_25
SLC25A29 PE,SLC_25_A29,SLC_25
SLC25A3 PE,SLC_25_A3,SLC_25
SLC25A30 PE,SLC_25_A30,SLC_25
