abbreviation	taxid_code	Species_name	Common_name	Order	Class	Taxonomic_Classification	Source
GalYua	378494	Galloisiana_yuasai		Grylloblattodea	Insecta	Grylloblattodea	OrthoDB 10v1
GerBue	56086	Gerris_buenoi	water strider	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
GloAus	7395	Glossina_austeni		Diptera	Insecta	Diptera	OrthoDB 10v1
GloBre	37001	Glossina_brevipalpis		Diptera	Insecta	Diptera	OrthoDB 10v1
GloFus	201502	Glossina_fuscipes	tsetse fly	Diptera	Insecta	Diptera	i5k
GloMor	7394	Glossina_morsitans		Diptera	Insecta	Diptera	OrthoDB 10v1
GloPal	7397	Glossina_palpalis		Diptera	Insecta	Diptera	OrthoDB 10v1
HabLab	597456	Habropoda_laboriosa		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
HalHal	286706	Halyomorpha_halys	brown marmorated stink bug	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
HarSal	610380	Harpegnathos_saltator	Jerdon's jumping ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
HelArm	29058	Helicoverpa_armigera	cotton bollworm	Lepidoptera	Insecta	Lepidoptera	NCBI
HelLat	246812	Heliconiuserato_lativitta	red postman butterfly	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
HelMel	34740	Heliconius_melpomene	postman butterfly	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
HelZea	7113	Helicoverpa_zea	Corn earworm	Lepidoptera	Insecta	Lepidoptera	CSIRO
HomSap	9606	Homo_sapiens	HUMAN				UNIprot
HomVit	197043	Homalodisca_vitripennis	glassy+AC0winge//0- sharpshooter	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
HyaAzt	294128	Hyalella_azteca		Amphipoda	Crustacea	Crustacea	OrthoDB 10v1
IxoSca	6945	Ixodes_scapularis	deer tick	Ixodida	Arachnida	Arachnida	OrthoDB 10v1
LadFul	123851	Ladona_fulva	scarce chaser	Odonata	Insecta	Odonata	OrthoDB 10v1
LasAlb	88501	Lasioglossum_albipes		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
LasNig	67767	Lasius_niger	black garden ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
